budget,popularity,revenue,runtime,title,avg_rating,ratings,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,release_year,director,actor_1,actor_2,actor_3,success,director_success_rate,actor_1_success_rate,actor_2_success_rate,actor_3_success_rate
250000000,94.370564,958400000,161.0,The Hobbit: The Desolation of Smaug,7.6,4524,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2013,Peter Jackson,Martin Freeman,Ian McKellen,Richard Armitage,1,0.7777777777777778,1.0,1.0,1.0
180000000,42.990906,372234864,113.0,The Golden Compass,5.8,1303,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2007,Chris Weitz,Dakota Blue Richards,Nicole Kidman,Daniel Craig,1,0.8,1.0,0.6666666666666666,1.0
207000000,61.22601,550000000,187.0,King Kong,6.6,2337,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,Peter Jackson,Naomi Watts,Jack Black,Adrien Brody,1,0.7777777777777778,0.375,1.0,1.0
200000000,100.025899,1845034188,194.0,Titanic,7.5,7562,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1997,James Cameron,Kate Winslet,Leonardo DiCaprio,Frances Fisher,1,0.8571428571428571,0.6,1.0,1.0
250000000,198.372395,1153304495,147.0,Captain America: Civil War,7.1,7241,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,Anthony Russo,Chris Evans,Robert Downey Jr.,Scarlett Johansson,1,1.0,1.0,0.6,1.0
209000000,64.928382,303025485,131.0,Battleship,5.5,2114,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2012,Peter Berg,Taylor Kitsch,Alexander Skarsgård,Rihanna,0,0.3333333333333333,0.0,0.0,0.0
150000000,418.708552,1513528810,124.0,Jurassic World,6.5,8662,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2015,Colin Trevorrow,Chris Pratt,Bryce Dallas Howard,Irrfan Khan,1,1.0,1.0,1.0,0.6666666666666666
200000000,93.004993,1108561013,143.0,Skyfall,6.9,7604,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,Sam Mendes,Daniel Craig,Judi Dench,Javier Bardem,1,0.7142857142857143,0.75,0.75,0.8
200000000,35.149586,783766341,127.0,Spider-Man 2,6.7,4321,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2004,Sam Raimi,Tobey Maguire,Kirsten Dunst,James Franco,1,0.875,0.8,0.5,1.0
200000000,77.68208,1215439994,130.0,Iron Man 3,6.8,8806,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,Shane Black,Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle,1,0.5,0.8181818181818182,0.625,0.75
200000000,78.530105,1025491110,108.0,Alice in Wonderland,6.4,4645,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2010,Tim Burton,Mia Wasikowska,Johnny Depp,Anne Hathaway,1,0.7857142857142857,0.5,1.0,1.0
210000000,3.857526,459359555,104.0,X-Men: The Last Stand,6.3,3525,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2006,Brett Ratner,Hugh Jackman,Halle Berry,Ian McKellen,1,0.8571428571428571,0.8,0.5,0.8
200000000,89.186492,743559607,104.0,Monsters University,7.0,3528,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2013,Dan Scanlon,Billy Crystal,John Goodman,Steve Buscemi,1,1.0,1.0,0.8333333333333334,0.25
150000000,21.939663,836297228,150.0,Transformers: Revenge of the Fallen,6.0,3138,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2009,Michael Bay,Shia LaBeouf,Megan Fox,Josh Duhamel,1,0.8333333333333334,0.8571428571428571,1.0,1.0
210000000,116.840296,1091405097,165.0,Transformers: Age of Extinction,5.8,3095,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,Michael Bay,Mark Wahlberg,Stanley Tucci,Kelsey Grammer,1,0.8333333333333334,0.8421052631578947,1.0,1.0
200000000,46.985445,491868548,130.0,Oz: The Great and Powerful,5.7,3530,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2013,Sam Raimi,James Franco,Mila Kunis,Rachel Weisz,1,0.875,0.7142857142857143,0.8333333333333334,0.3333333333333333
200000000,89.270217,705717432,142.0,The Amazing Spider-Man 2,6.5,4179,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2014,Marc Webb,Andrew Garfield,Emma Stone,Jamie Foxx,1,1.0,1.0,0.875,0.5
170000000,73.79505,400062763,125.0,TRON: Legacy,6.3,2841,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2010,Joseph Kosinski,Garrett Hedlund,Jeff Bridges,Olivia Wilde,1,1.0,0.5,1.0,0.5
200000000,49.98659,559852396,106.0,Cars 2,5.8,2033,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2011,John Lasseter,Owen Wilson,Larry the Cable Guy,Michael Caine,1,1.0,0.75,1.0,1.0
